patent_type,composition_subtype,cmc_subtype,clinical_indications,clinical_population,reasoning_short,lens_id,error
Clinical,,,"['lung cancer', 'urothelial cancer', 'colorectal cancer', 'prostate cancer', 'ovarian cancer', 'pancreatic cancer', 'breast cancer', 'bladder cancer', 'gastric cancer', 'gastrointestinal stromal tumor', 'uterine cervix cancer', 'esophageal cancer', 'squamous cell carcinoma', 'peritoneal cancer', 'liver cancer', 'hepatocellular cancer', 'colon cancer', 'rectal cancer', 'endometrial cancer', 'uterine cancer', 'salivary gland cancer', 'kidney cancer', 'vulval cancer', 'thyroid cancer', 'penis cancer', 'leukemia', 'malignant lymphoma', 'plasmacytoma', 'myeloma', 'sarcoma']",[],"The patent's broadest independent claim is directed towards a method of treating cancer using an anti-HER2 antibody-drug conjugate. It specifies various cancer types as indications, making it primarily a clinical patent.",178-966-101-043-896,
Composition,Full ADC,,[],[],"The primary focus of the patent is on the composition of an antibody-drug conjugate (ADC) that includes a specific antibody, linker, and payload. The claims detail the structure of the ADC, making it a 'Full ADC' composition subtype.",040-070-331-678-815,
Composition,Conjugated Linker,,[],[],"The patent primarily claims a disaccharide linker and its use in forming antibody-drug conjugates. The focus is on the linker structure and its conjugation to antibodies, with the payloads being broadly defined, indicating a 'Conjugated Linker' subtype.",191-512-782-583-533,
Composition,Conjugated Payload,,[],[],"The primary claim of the patent is directed towards a ligand-drug conjugate with a specified payload structure, focusing on the exatecan analogue. The antibody and linker components are broadly defined, making the composition subtype 'Conjugated Payload'.",045-874-388-992-261,
Composition,Full ADC,,[],[],"The primary claim of the patent is directed towards an antibody-drug conjugate (ADC) comprising an antibody capable of binding to human B7H3 and a cytotoxic agent. This indicates a 'Full ADC' composition as it specifies the antibody, linker, and payload components.",056-606-472-237-507,
Composition,Full ADC,,[],[],"The primary claim of the patent is directed towards a conjugate of an antibody with a specific drug molecule, which includes an anti-CD123 antibody, a linker, and a KSP inhibitor payload. This indicates a 'Full ADC' composition subtype as it specifies all three components: antibody, linker, and payload.",018-400-967-156-379,
Composition,Full ADC,,[],[],"The primary focus of the patent is on the drug conjugate of Formula I, which includes an antibody, linker, and payload, fitting the definition of a full ADC. The claims detail the structure of the conjugate, indicating a composition patent type with a full ADC subtype.",132-370-947-693-650,
Composition,Full ADC,,[],[],"The primary claim of the patent is directed towards an antibody-drug conjugate (ADC) represented by formula I, which specifies the antibody, linker, and payload components. This indicates a 'Full ADC' composition subtype as all three components are defined in the claims.",186-065-986-278-175,
Clinical,,,"['breast cancer', 'carcinoid cancer', 'cervical cancer', 'colorectal cancer', 'endometrial cancer', 'glioma', 'head and neck cancer', 'liver cancer', 'lung cancer', 'melanoma', 'ovarian cancer', 'pancreatic cancer', 'prostate cancer', 'renal cancer', 'gastric cancer', 'thyroid cancer', 'urothelial cancer', 'solid tumor']",[],"The primary focus of the patent is on a method of treating cancer using a combination of an A2A inhibitor and a checkpoint inhibitor, which classifies it under 'Clinical'. The claims specify various cancer types as indications for treatment.",067-509-241-872-735,
Composition,Conjugated Linker,,[],[],"The primary claim of the patent is directed towards a compound of Formula (I), which includes a divalent linker. The claims focus on the chemical structure of the linker, with the antibody and payload being broadly defined, classifying it as a 'Conjugated Linker'.",031-585-595-777-709,
Composition,Unconjugated Antibody,,[],[],"The primary focus of the claims is on isolated nucleic acids encoding specific anti-IGF-1R antibodies, which are intermediates for antibody production. There are no claims directed to a method of treatment or a full ADC construct.",005-927-242-002-144,
Composition,Full ADC,,[],[],"The primary claim of the patent is directed towards a ligand-drug conjugate with a specific structure, which includes a ligand, linker, and drug unit. This indicates a full ADC composition as all three components are specified in the claims.",003-991-167-855-385,
Clinical,,,['small cell lung cancer'],"['metastatic SCLC', 'first-line therapy', 'second-line or later therapy', 'refractory or relapsed from irinotecan or topotecan']","The patent's primary focus is on a method of treating small cell lung cancer using an ADC targeting Trop-2. The claims detail specific treatment regimens, patient populations, and combination therapies, indicating a clinical focus.",013-003-881-661-920,
Clinical,,,['breast cancer'],['metastatic'],"The patent's broadest independent claim focuses on a method of treating breast cancer using a transdermal formulation. The claims detail the treatment of metastatic breast cancer, indicating a clinical focus.",001-636-915-618-993,
Composition,Full ADC,,[],[],"The primary focus of the patent is on the composition of antibody-drug conjugates (ADCs) that include a specific anti-CD22 antibody, linker, and payload. The claims detail the structure and components of the ADC, classifying it as a 'Full ADC' under composition claims.",042-184-371-832-31X,
Clinical,,,['colorectal cancer'],"['relapsed or refractory', 'metastatic']","The primary focus of the patent is on a method of treating relapsed or refractory colorectal cancer using an immunoconjugate. The claims detail specific dosing regimens and patient populations, indicating a clinical application rather than a composition or manufacturing process.",047-356-504-792-64X,
CMC,,Formulation/Stability,[],[],"The primary focus of the patent is on the method of preparing an adalimumab formulation with specific characteristics, particularly related to cathepsin L activity. This indicates a focus on formulation and stability aspects of the drug product.",047-136-605-890-658,
CMC,,Formulation/Stability,[],[],"The patent primarily claims a lyophilized formulation of a specific compound, focusing on the composition of the formulation, including buffers and bulking agents. This indicates a focus on formulation and stability aspects, classifying it under CMC with a subtype of Formulation/Stability.",044-550-013-013-189,
Composition,Full ADC,,[],[],"The primary claim of the patent is directed towards an antibody-drug conjugate (ADC) that includes a modified antibody, a linker, and a drug payload. This indicates a 'Full ADC' composition as all three components are specified in the claims.",015-287-030-286-851,
Composition,Conjugated Antibody,,[],[],"The patent primarily claims a phototoxic pharmaceutical composition comprising an IR700 molecule conjugated to a specific antibody, pertuzumab. The focus is on the conjugated antibody, as the payload (IR700) is specified, but the linker is not detailed, fitting the 'Conjugated Antibody' subtype.",022-405-589-002-854,
Composition,Conjugated Payload,,[],[],"The primary focus of the patent is on a modified mitochondrion comprising an anticancer agent, which is a type of payload. The claims emphasize the composition of the mitochondrion with the anticancer agent, making it a 'Conjugated Payload' under the composition category.",022-153-350-704-661,
Composition,Conjugated Antibody,,[],[],"The patent primarily claims a composition involving a non-covalent complex of a 3E10 antibody or its fragment with an mRNA. The focus is on the antibody component, making it a 'Conjugated Antibody' subtype, as the payload (mRNA) is broadly defined.",018-388-239-013-661,
Composition,Full ADC,,[],[],"The primary claim of the patent is directed towards a compound of Formula (II), which specifies an antibody-drug conjugate (ADC) with defined antibody, linker, and payload components. This indicates a 'Full ADC' composition subtype as all three components are specified.",040-216-635-368-073,
Composition,Unconjugated Antibody,,[],[],"The primary focus of the patent is on the antibody that specifically binds to claudin 18A2, as evidenced by the broadest independent claim. The claims detail the sequences and characteristics of the antibody, classifying it as an unconjugated antibody composition.",050-728-509-862-70X,
Composition,Unconjugated Antibody,,[],[],"The broadest independent claim is directed to an anti-LY6H antibody, which is an unconjugated antibody. Although there are method-of-treatment claims, the primary inventive concept is the antibody itself.",065-446-278-530-060,
Clinical,,,"['FOLR1-expressing cancer', 'ovarian cancer', 'cancer of the peritoneum']","['platinum resistant', 'relapsed', 'refractory']","The patent primarily claims methods of treatment using an anti-FOLR1 immunoconjugate, focusing on dosing regimens and specific cancer indications. The broadest independent claims are directed towards clinical applications rather than the composition of the ADC itself.",053-345-036-289-042,
Composition,Unconjugated Antibody,,[],[],"The primary focus of the patent is on a pharmaceutical composition comprising an anti-CD38 antibody and hyaluronidase. The claims detail the specific sequences and formulation components, indicating it is an unconjugated antibody composition rather than a method of treatment or CMC-related invention.",060-037-976-715-880,
Clinical,,,"['lung cancer', 'non-small cell lung cancer (NSCLC)']","['EGFR and HER2 expressing', 'refractory to chemotherapy', 'metastatic', 'poor-risk stage II or stage III']","The patent's broadest independent claim focuses on a method of treating lung tumors expressing EGFR and HER2 using a combination of HER2-dimerization inhibitors and EGFR inhibitors. The claims detail specific patient populations and treatment scenarios, indicating a clinical focus.",087-106-345-784-376,
Composition,Unconjugated Linker,,[],[],"The patent claims a core construct that serves as a linker intermediate, which can be conjugated with various functional elements. The claims focus on the structure and components of the core construct, without specifying a complete ADC or therapeutic use.",082-138-874-995-835,
Composition,Conjugated Antibody,,[],[],"The primary claim is directed to a lyophilized nanoparticle composition comprising antibodies, paclitaxel, and albumin. The composition specifies antibodies but does not detail the linker or payload, classifying it as a 'Conjugated Antibody' subtype.",061-514-222-611-810,
Composition,Unconjugated Antibody,,[],[],"The primary focus of the patent is on polypeptides that bind to LRP5, specifically immunoglobulin single variable domains (ISVDs). These are described in detail, indicating that the invention is centered around the composition of these unconjugated antibody constructs.",065-857-609-188-156,
Composition,Conjugated Antibody,,[],[],"The primary focus of the patent is on a drug delivery nanoparticle composition that includes an Fn14 targeting moiety, specifically an anti-Fn14 antibody or its fragments. The claims primarily describe the composition of the nanoparticle, making it a 'Composition' patent with a 'Conjugated Antibody' subtype.",069-121-664-813-894,
Composition,Conjugated Payload,,[],[],"The primary focus of the patent is on the composition of an immunostimulatory nanoparticle, specifically a TLR agonist conjugated to a polymer. The claims detail the structure and components of the nanoparticle, indicating a 'Conjugated Payload' subtype as the TLR agonist is the specified payload.",069-089-711-105-886,
Composition,Conjugated Antibody,,[],[],"The patent primarily claims fibroblast binding agents targeting fibroblast activation protein (FAP), which are specified in detail, including their complementarity determining regions (CDRs). The claims focus on the composition of these binding agents, making it a 'Conjugated Antibody' subtype.",071-543-401-882-478,
Clinical,,,['cancer characterized by cancer cells expressing CLDN6'],"['cancer resistant to chemotherapy', 'cancer resistant to paclitaxel monotherapy']","The patent's broadest independent claims focus on methods of treating cancer by administering an anti-CLDN6 antibody in combination with chemotherapeutic agents. The claims specify treatment of cancers expressing CLDN6, including those resistant to certain chemotherapies.",068-055-035-665-113,
Clinical,,,"['bladder cancer', 'breast cancer', 'non-small cell lung cancer', 'colorectal cancer', 'renal cell carcinoma', 'hepatocellular carcinoma', 'melanoma']","['advanced RCC', 'metastatic RCC', 'advanced melanoma', 'metastatic melanoma']","The patent's broadest independent claim is directed towards a method of treating cancer using a combination of specific antagonists and lenvatinib. The focus is on treatment methods and specific cancer indications, classifying it as a 'Clinical' patent.",072-164-950-801-817,
Composition,Unconjugated Antibody,,[],[],"The claims focus on an anti-CD25 antibody with specific sequences and modifications, without detailing the conjugation to a payload or linker. Therefore, it is classified as an 'Unconjugated Antibody'.",073-729-770-707-235,
Clinical,,,"['acute lymphoblastic leukemia', 'acute myelogenous leukemia', 'biliary cancer', 'B-cell leukemia', 'B-cell lymphoma', 'bone cancer', 'brain cancer', 'breast cancer', 'cervical cancer', 'chronic lymphocytic leukemia', 'chronic myelogenous leukemia', 'colorectal cancer', 'endometrial cancer', 'esophageal cancer', 'gastric cancer', 'hairy cell leukemia', 'head and neck cancer', ""Hodgkin's lymphoma"", 'liver cancer', 'lung cancer', 'medullary thyroid cancer', 'multiple myeloma', 'ovarian cancer', ""non-Hodgkin's lymphoma"", 'pancreatic cancer', 'prostate cancer', 'renal cancer', 'sarcoma', 'skin cancer', 'testicular cancer', 'urothelial cancer']",[],"The broadest independent claim is a method of treating cancer using an anti-PD-1 antibody, indicating a focus on clinical applications. The claims specify various cancer types as indications for treatment.",085-753-012-966-209,
Clinical,,,"['autoimmune disorder', 'cancer', 'viral infection', 'bacterial infection', 'fungal infection', 'parasitic infection']",[],The broadest independent claim is a method of treating various diseases using an antibody-drug conjugate. This indicates the patent's primary focus is on clinical applications rather than the composition or manufacturing of the ADC.,099-619-707-473-137,
Composition,Conjugated Antibody,,[],[],"The primary focus of the patent is on a bispecific antibody that binds to HER2 and CD3, with detailed claims on the antibody's structure and sequence. There are no claims specifying a linker or payload, indicating the patent is centered on the antibody component of a potential ADC.",107-441-200-646-417,
Clinical,,,"['cancer', 'solid tumor', 'hematologic malignancy', 'bladder cancer', 'breast cancer', 'colorectal cancer', 'endometrial cancer', 'esophageal cancer', 'glioblastoma multiforme', 'head and neck cancer', 'kidney cancer', 'lung cancer', 'ovarian cancer', 'pancreatic cancer', 'prostate cancer', 'thyroid cancer', 'skin cancer', 'acute myeloid leukemia', 'CLL', 'DLBCL', 'multiple myeloma']",[],"The primary claim is a method for treating cancer using a specific composition, making the patent type 'Clinical'. The claims specify various cancer types as indications for treatment.",111-070-242-841-442,
Composition,Conjugated Antibody,,[],[],"The broadest independent claim is directed to an antibody that specifically binds to GPC3, with subsequent claims detailing its conjugation to cytotoxic agents. The focus is on the antibody itself, with the conjugation aspect being secondary, classifying it as a 'Conjugated Antibody'.",116-679-293-113-404,
Clinical,,,"['lymphoma', 'non-Hodgkins lymphoma', 'aggressive NHL', 'relapsed aggressive NHL', 'relapsed indolent NHL', 'refractory NHL', 'refractory indolent NHL', 'chronic lymphocytic leukemia', 'small lymphocytic lymphoma', 'leukemia', 'hairy cell leukemia', 'acute lymphocytic leukemia', 'mantle cell lymphoma']",[],"The patent's broadest independent claims focus on methods of treating cancer using anti-CD79b antibodies, including ADCs. The claims specify various hematological cancers, indicating a clinical focus.",112-297-429-248-457,
Composition,,,[],[],"The primary focus of the patent is on a nanoparticle composition comprising nucleoside-modified mRNA, a lipid component, and an α-GalCer compound. The broadest independent claim is directed to the composition of the nanoparticle itself, making it a 'Composition' patent.",127-940-157-394-147,
Clinical,,,"['breast cancer', 'B-cell disorder', 'EGFR-expressing metastatic colorectal carcinoma', 'EGFR-expressing head and neck cancer', 'KRAS mutant cancer']","['subjects with FcγR polymorphism', 'subjects with KRAS mutation', 'subjects unresponsive to therapeutic antibody treatment', 'subjects with impaired ADCC function']",The primary focus of the patent is on methods of treatment using therapeutic monoclonal antibodies in combination with an ADCC enhancer molecule. The claims are centered around increasing ADCC and clinical effectiveness in specific patient populations and disease indications.,130-418-204-880-612,
Composition,,,[],[],The patent primarily claims a composition involving killed bacterial cells containing functional nucleic acids and bispecific ligands for targeted delivery. The focus is on the composition itself rather than a specific method of treatment or manufacturing process.,120-824-529-557-523,
Composition,Full ADC,,[],[],"The patent's broadest independent claims focus on compounds that include an antibody, linker, and payload, which classifies it as a 'Full ADC'. The claims detail the structure and components of the ADC, including specific recognition sequences and payload options.",137-296-639-298-834,
Composition,Full ADC,,[],[],"The patent's broadest independent claim is directed to an antibody-drug conjugate (ADC) comprising a therapeutic agent covalently conjugated to an antibody or antigen-binding fragment that binds SSEA-4. This indicates a 'Full ADC' composition as it specifies the antibody, linker, and payload components.",134-190-910-290-131,
Composition,Full ADC,,[],[],"The patent's broadest independent claim is directed to an antibody-drug conjugate (ADC) comprising a specific antibody, linker, and payload. This indicates a 'Full ADC' composition subtype as it specifies all three components of the ADC construct.",140-471-414-302-066,
Composition,Conjugated Antibody,,[],[],"The patent's broadest independent claim focuses on antibodies or antigen-binding fragments that bind to CD123, which are specified in detail. The claims also include immunoconjugates, but the primary inventive concept is the specific antibody binding to CD123, making it a 'Conjugated Antibody' subtype.",143-244-898-006-616,
Composition,Dual Combination,,[],[],"The patent primarily claims small-molecule immune agonists and immune-targeted compounds formed by conjugating these agonists with targeted drugs or antibodies. The claims focus on the composition of these conjugated compounds, specifying both the small-molecule agonists and the targeted drugs or antibodies, fitting the 'Dual Combination' subtype.",129-641-850-758-132,
Composition,Conjugated Antibody,,[],[],"The primary claim is directed to a polypeptide-albumin nanoparticle complex with a polypeptide having VEGF binding specificity, which is a characteristic of an antibody. The claims focus on the composition of the complex, specifically the antibody component, rather than a full ADC construct.",129-960-712-673-278,
Clinical,,,['stage III-IV ovarian cancer'],"['BRCA-wild type', 'platinum-sensitive', 'recurrent']","The patent's primary focus is on a method of treatment involving a specific combination of chemotherapeutic agents and monoclonal antibodies for stage III-IV ovarian cancer. The claims detail a dosing regimen and patient population, indicating a clinical focus.",134-115-117-065-908,
Composition,Unconjugated Antibody,,[],[],"The broadest independent claim is directed to a nucleic acid encoding a chimeric antigen receptor (CAR) with an anti-fluorescein scFv, which is an unconjugated antibody intermediate. The claims focus on the genetic and cellular components rather than a method of treatment or a full ADC composition.",178-296-017-814-774,
Composition,Conjugated Antibody,,[],[],"The primary claim of the patent is directed towards an immune agonist complex consisting of a natural immune agonist and a targeted liposome, where the targeting is achieved using a nanobody. This indicates a focus on the conjugated antibody aspect, as the nanobody is specified while the other components are broadly defined.",146-059-244-678-952,
Composition,Conjugated Antibody,,[],[],"The primary focus of the patent is on antibodies that bind to the KIT antigen, with claims directed to the antibody itself and its conjugation to agents like toxins. The broadest independent claim is for the isolated antibody, making it a 'Conjugated Antibody' under the composition category.",140-272-188-599-065,
Composition,Unconjugated Payload,,[],[],"The patent primarily claims a crystalline form of a specific chemical compound, AL3818, which is an unconjugated payload. The claims focus on the composition of this compound and its crystalline forms, rather than on methods of treatment or manufacturing processes.",163-105-265-282-405,
Composition,Full ADC,,[],[],"The primary claim is directed to a conjugate comprising a specific antibody that binds to CD19, linked to a pyrrolobenzodiazepine (PBD) dimer, which constitutes a full ADC. The method-of-treatment claims are dependent on the composition claims, making the composition the broadest independent claim.",139-535-353-853-802,
Composition,Full ADC,,[],[],"The primary claim is directed to a compound of formula (I), which specifies an antibody (anti-CCR2), a linker, and a payload (STING modulator), indicating a full ADC composition. The method claims are secondary to the composition claims.",172-085-990-068-621,
CMC,,Conjugation Method,[],[],"The primary focus of the patent is on methods for producing re-oxidized antibodies and antibody drug conjugates, which involves specific steps of reduction and oxidation. This indicates a focus on the conjugation process, classifying it under 'Conjugation Method' within CMC.",166-251-041-006-051,
Composition,Full ADC,,[],[],"The patent's broadest independent claim is directed to an antibody-drug conjugate (ADC) comprising a specific anti-GPR20 antibody and a drug-linker structure. This indicates the primary focus is on the full ADC composition, including the antibody, linker, and payload components.",185-742-808-084-860,
Composition,Unconjugated Antibody,,[],[],"The primary focus of the patent is on a novel masked antibody molecule that binds to a target antigen, with claims detailing its structure and components. The claims do not specify a complete ADC construct, but rather focus on the antibody component, making it an unconjugated antibody composition.",191-775-706-620-288,
Composition,Full ADC,,[],[],"The patent's broadest independent claims focus on the composition of activatable antibodies and conjugated activatable antibodies targeting CD166, which include an antibody, a masking moiety, a cleavable moiety, and a conjugated agent. This indicates a 'Full ADC' composition subtype as it specifies all three components: antibody, linker, and payload.",160-963-639-940-188,
Composition,Full ADC,,[],[],"The primary claim of the patent is directed towards an antibody-drug conjugate (ADC) that includes a specific antibody, linker, and drug moiety. This indicates a 'Full ADC' composition subtype as all three components are specified in the claims.",172-863-076-640-866,
Composition,,,[],[],"The primary focus of the patent is on the engineered vaccinia virus, which is a composition of matter. The claims detail the structure and components of the virus, including mutated and heterologous sequences, making it a composition patent.",168-368-059-224-278,
Composition,Conjugated Antibody,,[],[],"The primary claim focuses on a composition comprising albumin-containing nanoparticles complexed with specific humanized antibodies. The antibodies are specified, but the linker and payload are not, classifying it as a 'Conjugated Antibody' subtype.",190-220-156-727-738,
Composition,Conjugated Payload,,[],[],"The primary focus of the patent is on nucleic acid molecules encoding random coil polypeptides that can be conjugated to drugs, including small molecule drugs and biologically active proteins. The claims emphasize the composition of these conjugates, particularly the payload aspect, rather than specific methods of treatment or manufacturing processes.",184-816-667-112-022,
Composition,Conjugated Antibody,,[],[],"The patent's broadest independent claim is directed to an isolated antibody, which can be conjugated to a cytotoxic agent. The claims specify the antibody sequences and mention conjugation to agents, but do not detail the linker or payload, classifying it as a 'Conjugated Antibody'.",189-233-064-695-73X,
Clinical,,,"['acute lymphoblastic leukemia', 'acute myelogenous leukemia', 'chronic lymphocytic leukemia', 'small lymphocytic lymphoma', 'chronic myelogenous leukemia', 'acute monocytic leukemia', ""Hodgkin's lymphomas"", ""Non-Hodgkin's lymphomas"", ""Burkitt's lymphoma"", 'diffuse large B-cell lymphoma', 'Mantle cell lymphoma', 'multiple myeloma', 'prostate cancer', 'breast cancer', 'brain cancer', 'kidney cancer', 'lung cancer', 'colon cancer', 'bladder cancer', 'skin cancer', 'thyroid cancer', 'ovary tumors', 'mesothelioma']",[],"The primary focus of the patent is on a method of treating various malignancies using an immunoconjugate, which classifies it under 'Clinical'. The claims specify a wide range of hematological and epithelial malignancies as treatment indications.",198-285-438-051-914,
Composition,Unconjugated Antibody,,[],[],"The claims focus on isolated polynucleotides encoding specific antibody variable domains, which are intermediates for producing antibodies. There are no claims directed to a full ADC or specific conjugation components, making it an 'Unconjugated Antibody' composition.",199-323-715-704-110,
Composition,Conjugated Antibody,,[],[],"The primary focus of the patent is on the composition of a conjugate involving a biomolecule, specifically an antibody with a cleavable linker and functional moieties. The claims detail the structure and components of the conjugate, with emphasis on the antibody and its modifications, fitting the 'Conjugated Antibody' subtype.",148-515-645-112-879,
Composition,Conjugated Payload,,[],[],"The patent primarily claims compounds with a specific structure where the payload is defined, but the targeting moiety is a polypeptide or hormone, not an antibody. The focus is on the conjugated payload, making it a 'Conjugated Payload' subtype.",182-312-373-752-524,
Composition,Conjugated Payload,,[],[],"The primary focus of the patent is on a dendrimer composition that includes a camptothecin active as a payload. The claims detail the structure of the dendrimer and its components, with specific emphasis on the payload, making it a 'Conjugated Payload' subtype.",131-116-703-254-512,
